,Incident Date,State,City Or County,Address,# Killed,# Injured,Zipcode
0,2014-12-29,LA,New Orleans,Poydras and Bolivar,0,4,70113
1,2014-12-27,CA,Los Angeles,8800 block of South Figueroa Street,1,3,90003
2,2014-12-27,CA,Sacramento,4000 block of May Street,0,4,95838
3,2014-12-26,IL,East St. Louis,2500 block of Summit Avenue,1,3,62205
4,2014-12-24,MO,Saint Louis,18th and Pine,1,3,63103
5,2014-12-23,KY,Winchester,260 Oxford Drive,1,3,40391
7,2014-12-22,NY,Webster,191 Lake Road,4,2,14580
8,2014-12-22,IL,Chicago,5700 block of South Green Street,0,5,60621
9,2014-12-21,FL,Sarasota,4034 N Washington Blvd,2,2,34234
10,2014-12-21,MS,Waynesboro,Central Avenue,1,4,39367
11,2014-12-21,IL,Calumet City,600 block of Escanba,1,8,60409
12,2014-12-20,IL,Rockford,3200 block of Montrose Avenue,4,0,61101
13,2014-12-16,NJ,Elizabeth,Anna Street,0,4,07201
14,2014-12-15,PA,Lansdale,100 block of West 5th St,7,0,19446
15,2014-12-14,FL,Miami,1311 Northwest 2nd Avenue,1,4,33136
16,2014-12-13,FL,Tampa,810 E. Skagway Ave.,0,5,33604
17,2014-12-12,OR,Portland,717 North Killingsworth Court,0,4,97217
18,2014-12-07,IN,South Bend,16000 block of Roosevelt Road,0,4,46614
19,2014-12-02,MO,Saint Louis,6000 block of Virginia Avenue,1,5,63111
20,2014-12-02,VA,Newport News,6128 Jefferson Ave ,0,5,23605
21,2014-11-30,NY,Brooklyn,375 Remsen Avenue,0,4,11212
22,2014-11-30,TN,Chattanooga,2412 East 13th Street ,0,5,37404
23,2014-11-29,NJ,Newark,348 S Orange Ave,1,3,07103
24,2014-11-29,GA,Atlanta,1600 block of Richmond Avenue,3,2,30315
25,2014-11-28,TN,Memphis,1849 East Brooks Road ,0,4,38116
26,2014-11-27,TX,Georgetown,Pvt Rd 934,2,3,78626
27,2014-11-26,CA,San Francisco,Mission and 13th streets,0,6,94103
29,2014-11-23,CO,Denver,Federal Boulevard and 16th Avenue,1,4,80204
30,2014-11-22,OH,Cleveland,1443 E 92nd St,4,1,44106
31,2014-11-22,SD,Sisseton,Fourth Avenue,4,1,57262
32,2014-11-22,OH,Springfield,Clifton Avenue and Rice Street,1,3,45505
33,2014-11-21,PA,Pittsburgh,600 block of Miller Avenue,0,6,15122
34,2014-11-19,IL,Chicago,700 block of North St. Louis Avenue,1,3,60624
36,2014-11-16,OH,Akron,1891 E Market St,1,4,44305
37,2014-11-16,TX,El Paso,115 S. Durango,0,6,79901
38,2014-11-15,MO,Springfield,2555 N. Glenstone,4,0,65803
39,2014-11-15,FL,Miami,NW 55th and 12th,1,3,33142
40,2014-11-08,CA,Pomona,499 E. Arrow Highway,0,5,91767
41,2014-11-07,CA,Compton,136th Street ,0,4,90222
42,2014-11-07,CA,Los Angeles,East 126th Street and North Compton Avenue,0,4,90222
43,2014-11-05,CA,San Francisco,1100 block of Alabama Street ,0,4,94110
44,2014-10-29,TN,Memphis,Yale Road and Ramill Road,0,5,38128
45,2014-10-26,KY,Cadiz,1410 Old Dover Road,4,0,42211
46,2014-10-24,WA,Marysville,5611 108th St NE,5,1,98271
47,2014-10-18,NY,Queens,33-02 Queens Blvd,0,4,11101
48,2014-10-18,SC,Graniteville,192 Breezy Hill Road,1,3,29829
50,2014-10-16,MI,Detroit,Mogul Street,1,3,48224
51,2014-10-14,GA,Peachtree Corners,6505 Bannor Lane,3,2,30092
52,2014-10-13,GA,Atlanta,85 Mount Zion Road,0,4,30354
53,2014-10-12,CA,Stockton,1100 block of East March Lane,3,1,95210
54,2014-10-12,GA,Atlanta,Arthur Langford Jr Place,1,3,30315
55,2014-10-11,NY,Utica,222 Bleecker Street,0,5,13501
57,2014-10-08,NY,Guilderland,1846 Western Ave,4,0,12203
58,2014-10-05,FL,Jacksonville,7300 block of Linda Drive,3,1,32208
59,2014-10-05,MI,Detroit,East 7 Mile Road and Sherwood Street,1,5,48234
60,2014-10-04,TN,Memphis,1400 block of Gherald Street,2,2,38108
61,2014-10-04,CA,Pomona,1925 West Holt Avenue ,0,4,91768
62,2014-09-29,SC,Walterboro,29 Sandy Dam Lane,1,7,29488
63,2014-09-29,CA,Fresno,2300 block of West Fountain Way ,0,4,93705
64,2014-09-28,PA,Philadelphia,2800 block of Hope Street,0,4,19133
65,2014-09-28,FL,Miami,NW 7th Ave and NW 64th Street,0,15,33150
66,2014-09-27,MO,Saint Louis,2000 block East John Avenue,0,5,63107
67,2014-09-26,SC,Darlington County,600 block of Turner Road,1,4,29501
68,2014-09-21,OH,East Liverpool,440 First St,0,4,43920
69,2014-09-20,MS,Batesville,8297 Curtis Rd,2,2,38606
70,2014-09-19,NY,Queens,32-14 106th St,0,4,11369
72,2014-09-15,LA,New Orleans,Chef Menteur Highway and Dale Street,0,5,70126
73,2014-09-14,TX,Flour Bluff,229 Naval Air Station Drive,3,1,78418
74,2014-09-14,AK,Anchorage,225 E Fifth,0,6,99501
75,2014-09-11,MI,Detroit,14000 block of Patton,1,7,48223
76,2014-09-06,FL,Orlando,2015 Orange Blossom Trail,0,4,32804
77,2014-09-06,GA,Macon,576 Poplar Street,0,5,31201
78,2014-09-04,MI,Flint,2400 block of Martin Luther King Boulevard,0,5,48505
79,2014-09-03,CA,Los Angeles,East 27th and Stanford ,0,6,90011
80,2014-09-02,CA,Highland,25000 block of Fifth Street ,0,5,92410
81,2014-09-02,MS,Jackson,3622 Medgar Evers Boulevard,2,3,39213
82,2014-08-31,CA,Livermore,200 block of South Q Street ,0,5,94550
83,2014-08-29,FL,Brooksville,820 Peach St,3,1,34601
84,2014-08-27,MI,Detroit,16600 block of Edmore,1,3,48205
85,2014-08-24,IL,Chicago,8300 block of South Halsted Street,1,3,60620
86,2014-08-24,GA,Augusta,1013 Carrie Street,1,3,30901
87,2014-08-24,CA,San Fernando,1400 block of Celis Street ,3,4,91340
88,2014-08-20,TN,Memphis,1400 block of Briarcrest Lane,0,5,38127
89,2014-08-18,LA,Saint Martinville,Main and Hyacinth streets,0,4,70582
90,2014-08-17,NY,Queens,153-38 118th Ave,0,4,11434
91,2014-08-17,MA,Boston,Edinboro Street,0,4,02111
92,2014-08-17,CA,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,94303
93,2014-08-17,NV,Las Vegas,Owens Avenue and H Street,0,4,89106
94,2014-08-16,NJ,Plainfield,West 3rd Street and Monroe Avenue,1,3,07063
95,2014-08-16,UT,Salt Lake City,122 Pierpont Avenue,0,6,84101
96,2014-08-14,TN,Memphis,797 Pope Street,1,3,38112
97,2014-08-13,TN,Clarksville,Treeland Drive,0,4,37040
100,2014-08-12,NY,Buffalo,Oakmont Avenue,1,3,14215
101,2014-08-10,LA,New Orleans,5400 block of Burgundy St,2,5,70117
103,2014-08-10,CA,Moreno Valley,16300 block of Heather Glen Road ,0,7,92551
104,2014-08-10,DC,Washington,N Street SW,0,6,20024
105,2014-08-09,MN,Minneapolis,400 3rd Ave N,1,8,55401
106,2014-08-08,WI,Milwaukee,3000 block of N. 28th Street ,0,4,53210
107,2014-08-08,DC,Washington,Second Street and Todd Place NE,0,4,20002
108,2014-08-08,NM,Albuquerque,3426 Vassar NE,1,3,87107
109,2014-08-06,CA,Bakersfield,1700 block of Quincy Street ,3,1,93305
110,2014-08-04,GA,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,30314
111,2014-08-03,TX,Humble,3403 FM 1960,0,7,77338
112,2014-08-03,MO,Saint Louis,5200 block of Thekla ,0,5,63115
113,2014-08-03,VA,Culpeper,4400 block of Rixeyville Road,5,0,22724
114,2014-08-03,TN,Columbia,East 9th Street and Bridge Street,0,5,38401
115,2014-08-02,TX,Dallas,5125 Wynell Street,3,1,75241
117,2014-08-02,PA,Pittsburgh,Penn Avenue and 29th Street,1,5,15201
118,2014-08-01,PA,Philadelphia,1500 block of South Etting Street,1,3,19146
119,2014-07-30,NC,Hope Mills,926 Bramblegate Rd,2,3,28348
120,2014-07-28,PA,Philadelphia,4900 block of North Front Street,1,4,19120
121,2014-07-27,MO,Saint Louis,2000 block of East John Avenue,0,5,63107
123,2014-07-26,ME,Saco,35 Water Street,5,0,04072
124,2014-07-26,GA,Sylvester,Royal Street,0,8,31791
125,2014-07-25,IL,Chicago,700 South California Avenue,1,6,60612
126,2014-07-23,PA,Braddock,700 block of Hickory St,0,4,15104
127,2014-07-21,NJ,Irvington,36 Welland Avenue,0,6,07111
128,2014-07-21,TN,Memphis,300 block of Foote Park Lane,0,4,38126
129,2014-07-20,IL,East Saint Louis,5103 block of Bunkum Rd,1,3,62204
130,2014-07-20,NV,Las Vegas,Rancho Drive 3400 block ,1,3,89130
131,2014-07-19,IL,Chicago,1300 North Mason Avenue,0,4,60651
133,2014-07-13,WA,Skyway,12600 Renton Avenue South ,0,5,98178
134,2014-07-13,CT,Stamford,84 West Park Place,0,5,06901
135,2014-07-13,DC,Washington,1700 block of Lincoln Road NE,0,4,20002
136,2014-07-12,CA,Pasadena,1700 block of Summit Avenue,3,2,91103
137,2014-07-11,IL,Chicago,5200 West Quincy Street,1,3,60644
138,2014-07-09,TX,Spring,711 Leaflet Ln,6,1,77388
139,2014-07-08,RI,Providence,35 March Street,0,5,02908
141,2014-07-07,CA,San Bernardino,312  E Baseline Street ,1,4,92410
142,2014-07-06,FL,Miami,NW 20th Ave and NW 62nd St,2,2,33147
143,2014-07-06,MO,Saint Louis,4600 block of Natural Bridge Avenue,0,4,63115
144,2014-07-06,NY,Buffalo,100 block of Erb Street,0,4,14215
145,2014-07-05,TX,Houston,1700 Almeda-Genoa,0,6,77047
146,2014-07-05,VA,Norfolk,861 W. 36th Street,0,7,23508
147,2014-07-05,OR,Portland,333 SE 122ND Ave,1,4,97233
148,2014-07-05,IN,Indianapolis,Broad Ripple Avenue,0,7,46220
149,2014-07-05,IL,Centreville,4700 Piggott Avenue,0,5,62207
150,2014-07-04,VA,Norfolk,1722 Thurgood Street,0,5,23523
151,2014-07-02,PA,Chester,1400 block of West Congress Street,0,5,19013
152,2014-06-30,KY,Lexington,Scottsdale Circle,1,3,40511
153,2014-06-29,LA,New Orleans,700 block of Bourbon St,1,9,70116
154,2014-06-29,MO,Saint Louis,2800 block of Dayton,0,4,63106
155,2014-06-29,CA,Los Angeles,1100 block of North Vermont Avenue,1,5,90029
156,2014-06-28,CA,Antioch,5500 Cedar Point Way,0,7,94531
157,2014-06-28,NY,Manhattan,Fifth Avenue and West 139th Street,0,4,10037
158,2014-06-27,CA,San Diego,1600 block of Cathy Street,1,3,92154
159,2014-06-26,WI,Milwaukee,24th and Locust,0,5,53206
160,2014-06-26,MI,Detroit,Grand St,2,2,48238
161,2014-06-25,MA,Lowell,Midland Street,0,5,01851
162,2014-06-24,FL,Miami,Northwest 12th Avenue and 65th Street,2,7,33147
163,2014-06-22,CA,Windsor,Windsor Avenue,1,3,95492
164,2014-06-21,DC,Washington,Florida Avenue and U Street NW,0,4,20009
165,2014-06-21,TN,Memphis,2119 East Alcy Road,0,5,38114
166,2014-06-20,MD,Seat Pleasant,6600 block of Greig Street,0,4,20743
167,2014-06-15,IN,Kokomo,5100 Clinton Drive,0,4,46902
168,2014-06-15,IL,Park Forest,200 Berry Street,0,4,60466
169,2014-06-13,CA,Los Angeles,8600 block of South Figueroa Street,3,1,90003
170,2014-06-09,NJ,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,07501
171,2014-06-08,AL,Opp,611 Hardin Street,1,4,36467
173,2014-06-07,MI,Oak Park,10811 W. Ten Mile Rd.,1,3,48237
174,2014-06-04,IL,Chicago,4900 West West End Avenue,1,3,60644
176,2014-06-02,IL,Chicago,2660 E. 79th St,0,7,60649
177,2014-06-01,IL,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,60644
178,2014-06-01,CA,Sacramento,6500 46th Street,0,4,95823
179,2014-05-31,CA,San Bernardino,800 block of West Victoria St,1,3,92410
180,2014-05-25,OH,Toledo,2100 block of Joffre Avenue,1,3,43607
182,2014-05-24,SC,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,29582
183,2014-05-23,CA,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,93117
184,2014-05-23,LA,New Orleans,6200 block of Eads Street,1,7,70122
185,2014-05-23,CA,Bellflower,9541 Flower Street,2,2,90706
186,2014-05-21,TX,Dallas,4500 block of Village Fair Drive,1,3,75224
187,2014-05-18,OH,Sandusky,1643 Cleveland Rd,0,7,44870
188,2014-05-17,CA,Coachella,84000 block of Pedro Drive,1,3,92236
189,2014-05-17,DC,Washington,2200 block of Adams Place NE,0,5,20018
190,2014-05-13,GA,Atlanta,Panther Trail and Childress Drive,0,5,30311
191,2014-05-12,IL,Chicago,3400 West 24th Street,0,4,60623
193,2014-05-11,TN,Memphis,2517 Shasta,0,7,38108
194,2014-05-10,GA,Stone Mountain,1100 To Lani Farm Road,1,3,30083
196,2014-05-10,GA,Decatur,Shamrock Drive ,2,3,30032
197,2014-05-04,IL,Chicago,500 West Erie Street,1,3,60654
198,2014-05-04,CO,Wheat Ridge,12100 W 44th,0,4,80033
199,2014-05-03,AR,Jonesboro,2201 Moore Rd,4,4,72401
200,2014-04-30,IL,Chicago,7200 South Phillips Avenue,0,4,60649
201,2014-04-29,GA,Kennesaw,1675 Airport Road,1,6,30144
202,2014-04-27,NY,Troy,Fourth Street,0,5,12180
203,2014-04-25,TN,Memphis,2000 Chelsea Avenue,2,3,38108
204,2014-04-22,CA,Los Angeles,6419 Brynhurst Avenue,1,3,90043
205,2014-04-20,IL,Montgomery,1300 block of Jackson St,0,6,60538
206,2014-04-20,FL,Tampa,2902 N. 32nd St.,2,2,33605
207,2014-04-20,IL,Chicago,6600 South Michigan Ave,0,5,60637
208,2014-04-14,DC,Washington,1500 block of 19th Street,0,4,66968
209,2014-04-12,LA,New Orleans,2100 block of Pauger Street,1,3,70116
210,2014-04-11,IN,Richmond,North 15th and H Streets,0,4,47374
211,2014-04-09,TN,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,37419
212,2014-04-09,IL,Rockford,300 North Sunset,0,4,61101
213,2014-04-07,LA,New Orleans,500 block of South Alexander Street,0,4,70119
214,2014-04-06,MA,Springfield,90 Worthington St.,0,4,01103
215,2014-04-06,OK,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,73107
216,2014-04-05,IL,Chicago,4300 W Wilcox Street,1,5,60624
217,2014-04-05,AZ,Phoenix,5400 block of W Palm Ln,1,3,85035
218,2014-04-05,CA,Fairfield,Orchid Street ,0,4,94533
219,2014-04-02,TX,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,76544
221,2014-03-30,NC,Charlotte,4300 Sunset Road,0,5,28216
222,2014-03-23,TX,Arlington,2700 Majesty Drive,1,3,76011
223,2014-03-23,CA,Long Beach,601 Long Beach Boulevard,1,3,90802
224,2014-03-23,CA,San Francisco,Turk and Taylor,0,7,94102
225,2014-03-21,SC,North Charleston,7550 Dorchester Road,0,4,29418
227,2014-03-16,GA,Waynesboro,4960 Highway 80 West ,0,4,30830
228,2014-03-14,NY,Brooklyn,S. Second and Roebling Sts,0,4,11211
229,2014-03-09,OH,Fremont,531 W State St,3,1,43420
230,2014-03-09,TX,Austin, 4900 block of West Race Avenue,0,6,78741
231,2014-03-08,IL,Chicago,4900 West Race Ave,0,6,60644
232,2014-03-08,CA,Richmond,1600 block of First Street,1,3,94801
233,2014-03-05,SC,Pelzer,Law Street,3,2,29669
235,2014-03-01,MI,Detroit,7800 Gratiot Av.,0,4,48213
236,2014-02-25,VA,Glade Spring,Graceland Lane,5,1,24340
237,2014-02-22,CA,Wilmington,1200 block of W Papeete St,0,4,90744
238,2014-02-20,IN,Indianapolis,3400 block of South Parker,4,0,46237
239,2014-02-20,CA,Alturas,300 W 1st St,4,2,15419
240,2014-02-16,TX,Fort Worth, 115 NW 25th St.,1,4,76164
241,2014-02-16,FL,Orange County,4500 block of Riviera Shores ,1,6,92109
242,2014-02-16,FL,Jacksonville,1187 S. Edgewood Ave.,1,4,32205
243,2014-02-16,TX,Dallas,2600 block of South Harwood Street,1,7,75215
244,2014-02-16,IN,Fort Wayne,Lafayette Street and East Tillman Road,0,5,46816
245,2014-02-15,NV,Las Vegas,Sahara and Maryland ,0,5,89109
246,2014-02-12,IN,Gary,2220 block of Broadway,0,5,46407
247,2014-02-12,CA,Oakland,37th and International ,1,3,94601
249,2014-02-07,FL,Miami,Northwest 41st Street and 9th Avenue ,0,5,33126
250,2014-02-06,LA,New Orleans,4600 block of Downman Road,0,4,70126
251,2014-02-05,IL,Chicago,6740 N Clark St,1,3,60626
252,2014-02-03,IN,Franklin,2100 block of Bridlewood Dr,3,2,46131
253,2014-01-27,NC,Rocky Mount,821 Word Plaza,0,4,27804
254,2014-01-27,WA,Seattle,2nd Avenue South and South Main Street,1,4,98104
255,2014-01-25,IL,Chicago,S. Union Av and W. 51st St,1,4,60609
256,2014-01-25,FL,Belle Glade,600 block of Covenant Drive,0,4,33430
258,2014-01-20,VA,Manassas,8509 Rixlew Ln,0,4,20109
259,2014-01-16,OK,Ardmore,H St NE and Martin Luther King Blvd,2,5,73401
260,2014-01-16,UT,Spanish Fork,37 N. 630 West,5,0,84660
261,2014-01-14,CA,Los Angeles,West 86th Street,0,4,90045
262,2014-01-13,MI,Detroit,800 block of Calvert St,0,4,48202
263,2014-01-12,LA,Tallulah,3600 block of Highway 80 W,0,6,39209
265,2014-01-12,IL,Elgin,300 block of North Street,0,5,60120
266,2014-01-03,NY,Queens,Farmers Boulevard and 133rd Avenue,1,3,11434
267,2014-01-01,VA,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,23523
268,2015-12-31,LA,New Orleans,1900 block of Amelia Street,0,6,70115
270,2015-12-26,PA,Philadelphia,4210 Macalester St,0,4,19124
271,2015-12-25,FL,Jacksonville,Franklin and Odessa,0,4,32206
272,2015-12-25,AL,Mobile,785 Schillinger Rd S,0,4,36695
273,2015-12-21,CA,San Leandro,14600 block of East 14th Street,0,4,94578
274,2015-12-20,FL,Golden Glades,NE 166th St and NE 7th Ave,0,4,33162
275,2015-12-20,NC,Wilmington,11th and Castle Street,1,4,28401
276,2015-12-20,FL,Miami (Goulds),21630 Southwest 120th Avenue,1,4,33170
277,2015-12-13,CA,Los Angeles,5550 S. Flower Street,1,3,90007
278,2015-12-13,CA,Huntington Beach,17000 block of Keelson Lane,0,4,92647
279,2015-12-12,GA,Savannah,Whitaker Street,0,4,31401
280,2015-12-12,IL,Lovejoy (Brooklyn),307 Jefferson St,1,3,62059
281,2015-12-11,MD,Baltimore,5100 block of Park Heights Avenue,1,3,21215
282,2015-12-11,PA,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4,15210
283,2015-12-08,OH,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3,45225
284,2015-12-06,LA,Raceland,Market Street,1,3,70394
285,2015-12-06,NE,Omaha,North 108th Street and Military Road,2,3,68164
286,2015-12-02,CA,San Bernardino,1365 South Waterman Avenue,16,19,92408
287,2015-12-02,GA,Savannah,100 block of West 33rd Street,1,3,31401
288,2015-11-29,IL,Kankakee,648 E Court St,0,5,60901
289,2015-11-27,CO,Colorado Springs,3480 Centennial Blvd,3,9,80907
290,2015-11-27,CA,Sacramento,7900 block of Florin Road,2,2,95828
291,2015-11-24,SC,Horry (county),1321 Colletta Court,0,4,29527
292,2015-11-23,OH,Columbus,90 block of S. Terrace Avenue,4,1,43204
294,2015-11-22,TX,Brownsville,1800 block of FM 802,0,4,78521
295,2015-11-22,WA,Seattle,Broadway and Pike,0,4,98122
296,2015-11-22,NY,Newburgh,203 Broadway,0,5,12550
297,2015-11-22,SC,North Charleston,Park Circle,1,3,29405
298,2015-11-22,IL,Chicago,4100 block of West Roosevelt,0,4,60624
299,2015-11-22,LA,New Orleans,1900 block of Gallier Street,0,17,70117
300,2015-11-21,MD,Baltimore,Stricker and School,1,3,21217
301,2015-11-20,PA,Pittsburgh,Prospect Drive,1,3,15229
302,2015-11-18,CA,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,93706
303,2015-11-16,AL,Cedar Bluff,1460 County Rd 664,3,1,35959
305,2015-11-15,PA,Philadelphia,5600 block of Blakemore Street,0,4,19138
306,2015-11-14,PA,Johnstown,1159 Main St,0,4,15909
307,2015-11-13,FL,Jacksonville,1300 block of South Shirley Oaks Drive,4,1,32218
308,2015-11-09,IN,Indianapolis,400 block of North Beville Ave,2,2,46201
309,2015-11-08,IA,Des Moines,4397 NW 6th Drive,1,3,50313
310,2015-11-08,MI,Warren,13859 8 Mile Road,0,4,48089
311,2015-11-07,CO,Denver,Bayaud and Bannock,1,3,80223
312,2015-11-06,CA,Bakersfield,1000 block of Feliz Drive,0,4,93307
313,2015-11-03,FL,Jacksonville,Ella Street and Kings Road,2,3,32209
314,2015-11-02,SC,Pendleton,2217 Refuge Road,4,0,29670
315,2015-10-28,LA,Houma,400 block of Morgan Street,1,3,70360
316,2015-10-27,TX,Fort Worth,1700 block of Southcrest Drive,0,5,76115
317,2015-10-26,IN,Evansville,711 E Virginia St,0,5,47711
318,2015-10-25,NC,Four Oaks,2339 Stricklands Crossroads Road,0,5,27524
319,2015-10-25,AZ,Phoenix,Seventh Street and Broadway,1,4,85041
320,2015-10-25,DC,Washington,4300 block of Wheeler Road SE,0,5,20032
321,2015-10-24,SC,Bamberg,682 Dixie Ave.,0,4,29003
322,2015-10-22,TN,Nashville,3500 John A. Merritt Blvd,1,3,37209
323,2015-10-19,IL,Calumet City,300 Campbell Avenue,0,6,60409
324,2015-10-18,LA,New Orleans,2600 block of Caffin Avenue,0,4,70117
325,2015-10-17,IN,Elkhart,160 Easy Shopping Place,0,4,46516
326,2015-10-17,FL,Fort Myers,2224 First St,1,4,33901
327,2015-10-12,GA,Decatur,4731 Glenwood Road,0,4,30035
328,2015-10-10,TN,Memphis,6135 Mount Moriah Road,0,6,38115
329,2015-10-10,NC,Charlotte,1900 block of West Boulevard,0,4,28208
330,2015-10-10,IL,Peoria,2405 N Flora,1,3,61604
331,2015-10-09,AZ,Flagstaff,216 E Mountain View Dr,1,3,86001
332,2015-10-06,MD,Baltimore,300 block of North Payson Street,0,5,21223
333,2015-10-02,MD,Baltimore,5400 Reisterstown Road,1,4,21215
334,2015-10-01,OR,Roseburg,1140 Umpqua College Rd,10,9,97470
335,2015-09-28,OH,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5,45207
336,2015-09-28,IL,Chicago,300 block of West 42nd Street,3,2,60609
337,2015-09-28,IL,Chicago,5300 block of South Aberdeen Street,2,3,60609
338,2015-09-28,OH,Dayton,1921 Oakridge,0,4,45417
339,2015-09-27,GA,Greenville,1140 Hill Haven Road,0,10,30222
340,2015-09-27,IL,Chicago,5200 block of South Justine,0,4,60609
341,2015-09-27,MO,Kansas City,1700 E. 18th St.,0,4,64108
342,2015-09-25,IL,Danville,1300 block of May Street,0,4,61832
343,2015-09-24,IL,Chicago,5100 block of South Morgan Street,0,5,60609
344,2015-09-23,LA,Shreveport,2900 block of Peach Street,0,5,71107
345,2015-09-23,FL,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,33916
346,2015-09-23,GA,Norcross,1300 block of Reddington Lane,1,3,30093
347,2015-09-20,PA,Philadelphia,900 block of Pratt Street,1,3,19124
349,2015-09-20,OK,Tulsa,Pine and Yale,0,6,74115
350,2015-09-19,IN,Indianapolis,3900 block of Graceland Avenue,1,3,46208
351,2015-09-17,SD,Geddes,36705 379th Street,6,0,57342
352,2015-09-17,MI,Albion,500 block of W. Broadwell Street,0,4,49224
353,2015-09-15,NJ,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,07103
354,2015-09-13,FL,Ocala,1910 South Pine Avenue,1,5,34475
355,2015-09-12,LA,Shreveport,1500 block of Clanton Street,0,4,71108
356,2015-09-12,NY,Rochester,36 Woodward Street,2,4,14605
357,2015-09-12,MN,Minneapolis,1st Ave. and N. 5th St.,0,6,55403
358,2015-09-12,MN,Minneapolis,1200 block of 22nd Ave. N.,1,3,55411
359,2015-09-11,NC,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,28206
360,2015-09-10,MN,Excelsior (Greenwood),Channel Drive,5,0,55331
363,2015-09-07,IN,Gary,9300 block of Sunrise,2,4,46403
364,2015-09-07,CO,Denver,1909 Blake Street,0,4,80202
365,2015-09-05,NC,Charlotte,6800 block of Fieldvale Place,1,3,28217
366,2015-09-05,FL,Daytona Beach,300 block of Pearl Street,0,4,32114
367,2015-09-05,NV,Las Vegas,5000 block of Hollywood Boulevard,1,3,89122
368,2015-09-05,MO,Columbia,1509 Ashley Street,0,4,65201
369,2015-08-30,TN,Memphis,3300 block of Sobota Circle,1,4,38109
370,2015-08-29,TN,Bristol,618 Henson Road,3,2,37620
371,2015-08-29,TX,Tyler,638 ENE Loop 323,1,3,75706
372,2015-08-28,NY,Brooklyn,589 Flatbush Avenue,1,3,11225
373,2015-08-27,CA,Salinas,928 Blanco Circle,2,2,93901
374,2015-08-26,IL,Chicago,3025 W. Van Buren Ave,2,2,60612
375,2015-08-26,MN,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,55429
376,2015-08-26,FL,West Palm Beach,800 block of 19th Street,2,2,33407
377,2015-08-25,LA,New Orleans,Fern Street and Olive Street,1,3,70125
378,2015-08-23,CA,Modesto,1100 block of Kansas Avenue,1,7,95351
380,2015-08-22,NM,Roswell,302 East Reed Street,3,1,88203
381,2015-08-21,NC,Durham,2700 block of Hinson Drive,0,8,27704
382,2015-08-21,OH,Cincinnati,Mathis and Prentice,2,5,45227
384,2015-08-19,NY,Rochester,500 Genesee St,3,4,14611
385,2015-08-16,TX,Fort Worth,3651 Sycamore School Rd,0,6,76133
386,2015-08-16,IL,Chicago,5400 block of West Division Street,0,4,60651
388,2015-08-15,PA,Pittsburgh,West Prospect Avenue,1,3,15205
389,2015-08-15,CA,Los Angeles,57th Street and South Normandie Avenue,0,4,90062
390,2015-08-15,SC,Orangeburg,2868 Bamberg Road,1,3,29115
391,2015-08-10,CA,Long Beach,1700 block of East 10th Street,0,4,90813
392,2015-08-09,MS,Forest,Poplar Street,1,3,39074
393,2015-08-09,MI,Detroit,15200 block of Hazelridge,1,3,48205
394,2015-08-09,MO,Kansas City,40th Street and Pennsylvania Avenue,0,4,64111
395,2015-08-08,NC,Gastonia,4908 Greenwood Drive,2,3,28052
396,2015-08-08,AR,Blytheville,833 Anderson Street,1,11,72315
397,2015-08-08,TX,Houston,2211 Falling Oaks,8,0,77038
398,2015-08-07,VT,Barre (Berlin),3182 Airport Rd,4,0,05641
399,2015-08-06,SC,Columbia,1505 Garden Plaza,0,4,29204
400,2015-08-04,MO,Saint Louis,2500 block of Semple,1,4,63112
401,2015-08-03,NY,Brooklyn,98 Dwight Street,0,5,11231
402,2015-08-02,NY,Brooklyn,Stanley Avenue and Crescent Street,0,9,11208
403,2015-08-02,MD,Baltimore,2700 block of Garrison Avenue,0,7,21216
404,2015-08-02,IL,Chicago,4800 block of West Kamerling Avenue,1,4,60651
406,2015-08-02,IL,Chicago,6700 block of South Winchester Avenue,0,4,60636
407,2015-08-01,FL,Orlando,5801 Shenandoah Way,0,4,32807
409,2015-07-27,IL,Rockford,900 block of Kent Street,0,5,61102
410,2015-07-26,MO,Kansas City,Thompson and Colorado,2,3,64124
411,2015-07-26,LA,New Orleans,Piety and Treasure street,0,4,70126
412,2015-07-25,VA,Hopewell,500 block of N. 7th Ave,0,4,23860
413,2015-07-24,PA,Erie,200 block of W 29th St,2,5,16508
414,2015-07-23,LA,Lafayette,3141 Johnson Street,3,9,70503
